YR,LC,RP,CLT,MKMGHA
2009,KN,1,EarlyCanada,56.236
2009,KN,1,CalhounGray,74.167
2009,KN,1,StarbriteF1,32.601
2009,KN,1,CrimsonSweet,74.167
2009,KN,1,GeorgiaRattlesnake,64.794
2009,KN,1,FiestaF1,70.907
2009,KN,1,Mickylee,57.051
2009,KN,1,SugarBaby,28.118
2009,KN,1,Legacy,68.054
2009,KN,1,Quetzali,57.866
2009,KN,2,EarlyCanada,56.236
2009,KN,2,GeorgiaRattlesnake,64.387
2009,KN,2,Quetzali,64.794
2009,KN,2,Mickylee,96.58
2009,KN,2,CalhounGray,38.306
2009,KN,2,FiestaF1,85.577
2009,KN,2,StarbriteF1,69.684
2009,KN,2,SugarBaby,19.153
2009,KN,2,CrimsonSweet,56.236
2009,KN,2,Legacy,72.537
2009,KN,3,FiestaF1,86.8
2009,KN,3,Quetzali,49.309
2009,KN,3,CrimsonSweet,59.496
2009,KN,3,SugarBaby,50.531
2009,KN,3,EarlyCanada,28.933
2009,KN,3,Legacy,103.1
2009,KN,3,StarbriteF1,72.537
2009,KN,3,GeorgiaRattlesnake,79.057
2009,KN,3,Mickylee,68.869
2009,KN,3,CalhounGray,53.384
2009,KN,4,CrimsonSweet,61.942
2009,KN,4,EarlyCanada,86.8
2009,KN,4,StarbriteF1,107.583
2009,KN,4,Mickylee,58.274
2009,KN,4,Quetzali,73.759
2009,KN,4,SugarBaby,52.161
2009,KN,4,FiestaF1,77.427
2009,KN,4,CalhounGray,109.213
2009,KN,4,GeorgiaRattlesnake,71.722
2009,KN,4,Legacy,81.502
2009,CI,1,Mickylee,37.898
2009,CI,1,CrimsonSweet,0
2009,CI,1,FiestaF1,59.904
2009,CI,1,CalhounGray,108.805
2009,CI,1,GeorgiaRattlesnake,59.904
2009,CI,1,Legacy,66.832
2009,CI,1,StarbriteF1,47.679
2009,CI,1,Quetzali,56.236
2009,CI,1,EarlyCanada,68.054
2009,CI,1,SugarBaby,55.014
2009,CI,2,CalhounGray,59.496
2009,CI,2,GeorgiaRattlesnake,46.049
2009,CI,2,Legacy,39.528
2009,CI,2,EarlyCanada,44.826
2009,CI,2,CrimsonSweet,45.234
2009,CI,2,Quetzali,43.196
2009,CI,2,SugarBaby,56.644
2009,CI,2,Mickylee,62.757
2009,CI,2,FiestaF1,59.904
2009,CI,2,StarbriteF1,97.395
2009,CI,3,StarbriteF1,98.617
2009,CI,3,Quetzali,33.823
2009,CI,3,CrimsonSweet,33.008
